sample_id	date	precision	imputed_date	lower50_date	upper50_date	lower95_date	upper95_date
G4704	2014-XX-XX	imprecise	2014-07-27	2014-07-20	2014-08-03	2014-07-10	2014-08-19
G4715	2014-XX-XX	imprecise	2014-07-27	2014-07-21	2014-08-03	2014-07-11	2014-08-20
G4717	2014-XX-XX	imprecise	2014-07-27	2014-07-21	2014-08-03	2014-07-11	2014-08-20
G4718	2014-XX-XX	imprecise	2014-07-27	2014-07-21	2014-08-04	2014-07-11	2014-08-20
G4719	2014-XX-XX	imprecise	2014-07-27	2014-07-21	2014-08-04	2014-07-11	2014-08-20
G4724	2014-XX-XX	imprecise	2014-07-28	2014-07-21	2014-08-04	2014-07-11	2014-08-20
G4725	2014-XX-XX	imprecise	2014-07-28	2014-07-21	2014-08-04	2014-07-11	2014-08-20
G4726	2014-XX-XX	imprecise	2014-07-28	2014-07-21	2014-08-04	2014-07-11	2014-08-21
G4727	2014-XX-XX	imprecise	2014-07-28	2014-07-22	2014-08-04	2014-07-11	2014-08-21
G4730	2014-XX-XX	imprecise	2014-07-28	2014-07-22	2014-08-04	2014-07-11	2014-08-21
G4731	2014-XX-XX	imprecise	2014-07-28	2014-07-22	2014-08-04	2014-07-11	2014-08-21
G4733	2014-XX-XX	imprecise	2014-07-28	2014-07-22	2014-08-05	2014-07-11	2014-08-21
G4736	2014-XX-XX	imprecise	2014-07-28	2014-07-22	2014-08-05	2014-07-12	2014-08-21
G4744	2014-XX-XX	imprecise	2014-07-29	2014-07-22	2014-08-05	2014-07-12	2014-08-22
G4748	2014-XX-XX	imprecise	2014-07-29	2014-07-23	2014-08-06	2014-07-12	2014-08-22
G4750	2014-XX-XX	imprecise	2014-07-29	2014-07-23	2014-08-06	2014-07-12	2014-08-23
G4751	2014-XX-XX	imprecise	2014-07-29	2014-07-23	2014-08-06	2014-07-12	2014-08-23
G4753-2	2014-XX-XX	imprecise	2014-07-29	2014-07-23	2014-08-06	2014-07-12	2014-08-23
G4763-2	2014-XX-XX	imprecise	2014-07-30	2014-07-23	2014-08-07	2014-07-13	2014-08-24
G4769	2014-XX-XX	imprecise	2014-07-30	2014-07-24	2014-08-07	2014-07-13	2014-08-24
G4789	2014-XX-XX	imprecise	2014-08-01	2014-07-25	2014-08-08	2014-07-14	2014-08-26
G4812-2	2014-XX-XX	imprecise	2014-08-02	2014-07-26	2014-08-10	2014-07-15	2014-08-28
G4818-3	2014-XX-XX	imprecise	2014-08-02	2014-07-26	2014-08-10	2014-07-15	2014-08-28
G4837	2014-07-16	precise	2014-07-16	2014-07-16	2014-07-16	2014-07-16	2014-07-16
G4845-3	2014-XX-XX	imprecise	2014-08-04	2014-07-28	2014-08-12	2014-07-16	2014-08-31
G4849	2014-XX-XX	imprecise	2014-08-04	2014-07-28	2014-08-13	2014-07-16	2014-08-31
G4850	2014-XX-XX	imprecise	2014-08-04	2014-07-28	2014-08-13	2014-07-16	2014-08-31
G4852	2014-XX-XX	imprecise	2014-08-05	2014-07-28	2014-08-13	2014-07-17	2014-09-01
G4856	2014-XX-XX	imprecise	2014-08-05	2014-07-29	2014-08-13	2014-07-17	2014-09-01
G4858	2014-XX-XX	imprecise	2014-08-05	2014-07-29	2014-08-13	2014-07-17	2014-09-01
G4861	2014-XX-XX	imprecise	2014-08-05	2014-07-29	2014-08-13	2014-07-17	2014-09-01
G4868	2014-XX-XX	imprecise	2014-08-06	2014-07-29	2014-08-14	2014-07-17	2014-09-02
G4875-2	2014-XX-XX	imprecise	2014-08-06	2014-07-30	2014-08-15	2014-07-18	2014-09-03
G4876-2	2014-XX-XX	imprecise	2014-08-06	2014-07-30	2014-08-15	2014-07-18	2014-09-03
G4880-2	2014-XX-XX	imprecise	2014-08-06	2014-07-30	2014-08-15	2014-07-18	2014-09-03
G4886	2014-XX-XX	imprecise	2014-08-07	2014-07-30	2014-08-15	2014-07-18	2014-09-04
G4896	2014-XX-XX	imprecise	2014-08-08	2014-07-31	2014-08-16	2014-07-19	2014-09-05
G4907	2014-XX-XX	imprecise	2014-08-08	2014-08-01	2014-08-17	2014-07-19	2014-09-06
G4909-2	2014-XX-XX	imprecise	2014-08-08	2014-08-01	2014-08-17	2014-07-19	2014-09-06
G4929	2014-XX-XX	imprecise	2014-08-10	2014-08-02	2014-08-19	2014-07-20	2014-09-08
G4931	2014-XX-XX	imprecise	2014-08-10	2014-08-02	2014-08-19	2014-07-20	2014-09-08
G4937	2014-XX-XX	imprecise	2014-08-10	2014-08-02	2014-08-19	2014-07-21	2014-09-09
G4942	2014-XX-XX	imprecise	2014-08-11	2014-08-03	2014-08-20	2014-07-21	2014-09-09
G4946	2014-XX-XX	imprecise	2014-XX-XX	2014-XX-XX	2014-XX-XX	2014-XX-XX	2014-XX-XX
G4946	2014-XX-XX	imprecise	2014-08-11	2014-08-03	2014-08-20	2014-07-21	2014-09-10
G4950-2	2014-XX-XX	imprecise	2014-08-11	2014-08-03	2014-08-20	2014-07-21	2014-09-10
G4955	2014-XX-XX	imprecise	2014-08-12	2014-08-04	2014-08-21	2014-07-22	2014-09-11
G4956	2014-XX-XX	imprecise	2014-XX-XX	2014-XX-XX	2014-XX-XX	2014-XX-XX	2014-XX-XX
G4956	2014-XX-XX	imprecise	2014-08-12	2014-08-04	2014-08-21	2014-07-22	2014-09-11
G4960	2014-XX-XX	imprecise	2014-08-12	2014-08-04	2014-08-21	2014-07-22	2014-09-11
G4969	2014-XX-XX	imprecise	2014-08-13	2014-08-05	2014-08-22	2014-07-22	2014-09-12
G4971	2014-XX-XX	imprecise	2014-08-13	2014-08-05	2014-08-22	2014-07-22	2014-09-12
G4972	2014-08-14	precise	2014-08-14	2014-08-14	2014-08-14	2014-08-14	2014-08-14
G4973	2014-08-14	precise	2014-08-14	2014-08-14	2014-08-14	2014-08-14	2014-08-14
G4979	2014-XX-XX	imprecise	2014-08-13	2014-08-05	2014-08-23	2014-07-23	2014-09-13
G4981	2014-XX-XX	imprecise	2014-08-14	2014-08-05	2014-08-23	2014-07-23	2014-09-13
G4982	2014-XX-XX	imprecise	2014-08-14	2014-08-05	2014-08-23	2014-07-23	2014-09-13
G4983	2014-XX-XX	imprecise	2014-08-14	2014-08-05	2014-08-23	2014-07-23	2014-09-14
G4990-3	2014-XX-XX	imprecise	2014-08-14	2014-08-06	2014-08-24	2014-07-23	2014-09-14
G4994	2014-XX-XX	imprecise	2014-08-15	2014-08-06	2014-08-24	2014-07-24	2014-09-15
G4996	2014-XX-XX	imprecise	2014-08-15	2014-08-06	2014-08-24	2014-07-24	2014-09-15
G4999	2014-XX-XX	imprecise	2014-08-15	2014-08-07	2014-08-25	2014-07-24	2014-09-15
G5008	2014-XX-XX	imprecise	2014-08-16	2014-08-07	2014-08-25	2014-07-24	2014-09-16
G5012-2	2014-XX-XX	imprecise	2014-08-16	2014-08-07	2014-08-26	2014-07-25	2014-09-17
G5013	2014-XX-XX	imprecise	2014-08-16	2014-08-07	2014-08-26	2014-07-25	2014-09-17
